MSOA11CD,year,income,imd,oa,pop,unem,edu,mig
E02000045,2021,44700,0.147,0,10524,4.8,45.2,9.2
E02000046,2011,40150,0.103,0,7063,4.2,50.2,33.3
E02000046,2021,51200,0.081,0,6962,4,57.5,14.8
E02000047,2011,26071,0.268,0,11373,6,25,24.2
E02000047,2021,41000,0.176,1,12397,4.7,35.9,9.9
E02000048,2011,38064,0.109,0,9817,3.7,46.2,22.8
E02000048,2021,45600,0.084,1,10283,3.4,53.7,8.9
E02000049,2011,24507,0.394,0,8503,7.4,25.2,22.6
E02000049,2021,37500,0.265,1,10532,5.5,41.9,7.8
E02000050,2011,34414,0.191,0,10064,4.7,41.2,24.8
E02000050,2021,43500,0.137,0,10380,4.7,49.7,10.6
E02000051,2011,39107,0.107,0,8647,3.8,47.5,28.1
E02000051,2021,46000,0.079,0,9160,5,55.5,11.8
E02000052,2011,40150,0.148,0,9698,4,53.9,29.8
E02000052,2021,47000,0.098,0,9849,3.9,61.2,12.9
E02000054,2011,33893,0.125,0,8697,3.9,43.1,24.3
E02000054,2021,44700,0.106,1,7631,3.3,49.6,14.1
E02000055,2011,32850,0.134,0,7206,3.6,41.1,47.8
E02000055,2021,44300,0.096,0,11723,4.6,46.3,17.2
E02000056,2011,43279,0.053,0,11130,2.6,56.8,18.4
E02000056,2021,55700,0.044,0,9132,2.4,64.4,10.8
E02000057,2011,33893,0.128,1,9212,4.5,40.4,22
E02000057,2021,44900,0.084,1,8013,4.1,45.5,12.9
E02000058,2011,41193,0.081,0,7484,3.3,51.9,36.5
E02000058,2021,45500,0.07,0,10227,2.8,55.9,11.3
E02000059,2011,27636,0.212,1,10220,5.6,30.4,26.7
E02000059,2021,40900,0.136,1,11626,4.3,43.2,12.4
E02000060,2011,34414,0.117,0,10459,3.9,40,26
E02000060,2021,39200,0.096,0,11557,2.8,39.7,10.5
E02000061,2011,42236,0.051,1,10920,3.9,56,25.9
E02000061,2021,45300,0.074,1,8345,3.2,60.7,17.6
E02000062,2011,28157,0.242,1,8013,6.3,29.8,22.4
E02000062,2021,40600,0.195,1,6958,5.2,39.5,10.1
E02000063,2011,31286,0.208,1,6340,5.5,35.7,30.3
E02000063,2021,43900,0.149,1,7584,4.3,44.3,10.7
E02000064,2011,32329,0.195,1,6971,5.6,39.6,28.6
E02000064,2021,41900,0.169,1,6674,4.2,50.6,14
E02000065,2011,29200,0.193,1,6248,7.7,31.7,28.7
E02000065,2021,36400,0.16,1,8062,5.3,40.8,8.5
E02000066,2011,26071,0.257,1,7666,8.3,24.2,26.1
E02000066,2021,29600,0.209,1,9430,5.2,35.1,7
E02000067,2011,28157,0.193,1,9641,6,22.2,18.5
E02000067,2021,35100,0.169,1,10231,4.3,34.5,10.2
E02000068,2011,28157,0.213,0,8750,7.1,23.2,17.1
E02000068,2021,33400,0.197,0,8176,4.8,33.7,9.6
E02000069,2011,29200,0.135,0,7388,4.4,22.3,13.7
E02000069,2021,35200,0.128,0,7212,3.2,34,10.2
E02000070,2011,30243,0.08,1,6194,3.5,19.2,18.1
E02000070,2021,39000,0.081,1,8111,2.6,29,6.9
E02000071,2011,29200,0.123,0,7875,4,17.7,14
E02000071,2021,35200,0.121,0,7672,3.8,26,7.3
E02000072,2011,25550,0.265,0,7300,8.6,19.7,26.8
E02000072,2021,33000,0.202,0,12924,4.8,36,9.1
E02000073,2011,30764,0.072,0,11734,3.2,20.2,9.8
E02000073,2021,40900,0.055,0,10726,2.7,29.7,5.3
E02000074,2011,26593,0.208,0,10724,5.9,15.7,11.2
E02000074,2021,31700,0.193,0,8861,4.2,27.6,5.5
E02000075,2011,31286,0.076,0,7655,2.7,20.1,10
E02000075,2021,39900,0.062,0,7986,2.2,28.8,5.7
E02000077,2011,29200,0.1,0,7948,3.5,18.4,12.2
E02000077,2021,39200,0.082,0,8140,3.4,30.2,7.2
E02000078,2011,31286,0.068,0,7823,3.1,20.7,10.5
E02000078,2021,38600,0.064,0,7933,2.5,29.4,7
E02000079,2011,32329,0.082,0,7665,3.3,25.5,19.3
E02000079,2021,39400,0.087,0,8770,3,34.1,10.9
E02000080,2011,30243,0.088,0,7865,4.2,19.4,17.1
E02000080,2021,39600,0.076,0,10065,2.9,31.5,6.5
E02000081,2011,30764,0.11,0,9430,4.1,19.7,10.6
E02000081,2021,38400,0.091,0,8306,2.7,29.8,7.4
E02000082,2011,32329,0.065,0,7513,3.3,20.3,14.9
E02000082,2021,41300,0.047,0,9336,2.4,29.2,7.3
E02000083,2011,29200,0.147,0,8876,4.7,19.1,16
E02000083,2021,35900,0.12,0,11271,3.2,30.7,7.7
E02000084,2011,33371,0.055,0,9771,3.2,24.1,14.2
E02000084,2021,41400,0.056,0,11115,2.6,33.1,7.3
E02000085,2011,30243,0.09,0,10641,3.1,17.1,10.6
E02000085,2021,37500,0.073,0,7961,2.4,25.4,8
E02000086,2011,33893,0.051,0,7893,2.8,20.9,12.5
E02000086,2021,39700,0.046,0,7178,2.1,27.8,6.7
E02000087,2011,35979,0.051,0,7328,2.7,29.8,15.5
E02000087,2021,41900,0.046,0,8209,2.4,36.6,8.4
E02000088,2011,32329,0.063,0,7579,2.6,21.7,13.2
E02000088,2021,42500,0.049,0,7750,1.8,29.8,7
E02000089,2011,32850,0.06,0,7737,3,23.3,13.1
E02000089,2021,44200,0.053,0,7869,2.3,30.5,6.4
E02000090,2011,32850,0.083,0,7783,3.3,27.1,23.1
